x,y,z
-24.666667,-1.666667,0.000000
-24.000000,-1.666667,0.000000
-23.333333,-1.666667,0.000000
-22.666667,-1.666667,0.000000
-22.000000,-1.666667,0.000000
-21.333333,-1.666667,0.000000
-21.333333,-1.000000,0.000000
-22.000000,-1.000000,0.000000
-22.666667,-1.000000,0.000000
-23.333333,-1.000000,0.000000
-24.000000,-1.000000,0.000000
-24.666667,-1.000000,0.000000
-24.666667,-0.333333,0.000000
-24.000000,-0.333333,0.000000
-23.333333,-0.333333,0.000000
-22.666667,-0.333333,0.000000
-22.000000,-0.333333,0.000000
-21.333333,-0.333333,0.000000
-21.333333,0.333333,0.000000
-22.000000,0.333333,0.000000
-22.666667,0.333333,0.000000
-23.333333,0.333333,0.000000
-24.000000,0.333333,0.000000
-24.666667,0.333333,0.000000
-24.666667,1.000000,0.000000
-24.000000,1.000000,0.000000
-23.333333,1.000000,0.000000
-22.666667,1.000000,0.000000
-22.000000,1.000000,0.000000
-21.333333,1.000000,0.000000
-21.333333,1.666667,0.000000
-22.000000,1.666667,0.000000
-22.666667,1.666667,0.000000
-23.333333,1.666667,0.000000
-24.000000,1.666667,0.000000
-24.666667,1.666667,0.000000
-1.400000,-2.500000,-0.050000
-0.150000,-2.500000,-0.050000
0.500000,-2.500000,-0.050000
1.500000,-2.500000,-0.050000
2.400000,-2.500000,-0.050000
2.500000,-1.400000,-0.050000
2.500000,-0.150000,-0.050000
2.500000,0.500000,-0.050000
2.500000,1.500000,-0.050000
2.500000,2.400000,-0.050000
1.400000,2.500000,-0.050000
0.150000,2.500000,-0.050000
-0.500000,2.500000,-0.050000
-1.500000,2.500000,-0.050000
-2.400000,2.500000,-0.050000
-2.500000,1.400000,-0.050000
-2.500000,0.150000,-0.050000
-2.500000,-0.500000,-0.050000
-2.500000,-1.500000,-0.050000
-2.500000,-2.400000,-0.050000
